Município;Assistência_Médica;Excl._Odontológico;Total
110001 Alta Floresta D'Oeste;10348;1313;11661
110037 Alto Alegre dos Parecis;27;2;29
110040 Alto Paraíso;148;14;162
110034 Alvorada D'Oeste;208;8;216
110002 Ariquemes;4606;214;4820
110045 Buritis;288;37;325
110003 Cabixi;116;7;123
110060 Cacaulândia;82;4;86
110004 Cacoal;3796;289;4085
110070 Campo Novo de Rondônia;31;3;34
110080 Candeias do Jamari;307;56;363
110090 Castanheiras;10;0;10
110005 Cerejeiras;510;13;523
110092 Chupinguaia;40;2;42
110006 Colorado do Oeste;617;9;626
110007 Corumbiara;38;1;39
110008 Costa Marques;189;7;196
110094 Cujubim;121;19;140
110009 Espigão D'Oeste;533;15;548
110100 Governador Jorge Teixeira;18;0;18
110010 Guajará-Mirim;2256;67;2323
110110 Itapuã do Oeste;587;1;588
110011 Jaru;1164;68;1232
110012 Ji-Paraná;7753;755;8508
110013 Machadinho D'Oeste;375;40;415
110120 Ministro Andreazza;22;5;27
110130 Mirante da Serra;166;6;172
110140 Monte Negro;81;12;93
110014 Nova Brasilândia D'Oeste;106;0;106
110033 Nova Mamoré;129;13;142
110143 Nova União;14;5;19
110050 Novo Horizonte do Oeste;29;11;40
110015 Ouro Preto do Oeste;1639;123;1762
110145 Parecis;18;0;18
110018 Pimenta Bueno;1429;182;1611
110146 Pimenteiras do Oeste;7;2;9
110020 Porto Velho;64182;9540;73722
110025 Presidente Médici;475;20;495
110147 Primavera de Rondônia;7;0;7
110026 Rio Crespo;15;0;15
110028 Rolim de Moura;927;244;1171
110029 Santa Luzia D'Oeste;78;28;106
110148 São Felipe D'Oeste;23;1;24
110149 São Francisco do Guaporé;43;0;43
110032 São Miguel do Guaporé;187;46;233
110150 Seringueiras;79;8;87
110155 Teixeirópolis;17;0;17
110160 Theobroma;29;3;32
110170 Urupá;154;21;175
110175 Vale do Anari;47;2;49
110180 Vale do Paraíso;29;4;33
110030 Vilhena;6196;432;6628
110000 Município ignorado - RO;351;94;445
120001 Acrelândia;116;9;125
120005 Assis Brasil;50;1;51
120010 Brasiléia;219;16;235
120013 Bujari;47;16;63
120017 Capixaba;18;0;18
120020 Cruzeiro do Sul;926;68;994
120025 Epitaciolândia;86;5;91
120030 Feijó;162;18;180
120032 Jordão;3268;1;3269
120033 Mâncio Lima;38;3;41
120034 Manoel Urbano;21;1;22
120035 Marechal Thaumaturgo;12;0;12
120038 Plácido de Castro;94;8;102
120080 Porto Acre;31;13;44
120039 Porto Walter;15;0;15
120040 Rio Branco;36117;3991;40108
120042 Rodrigues Alves;12;0;12
120043 Santa Rosa do Purus;4;0;4
120050 Sena Madureira;295;17;312
120045 Senador Guiomard;198;19;217
120060 Tarauacá;222;39;261
120070 Xapuri;134;17;151
120000 Município ignorado - AC;448;923;1371
130002 Alvarães;269;62;331
130006 Amaturá;4;1;5
130008 Anamã;69;0;69
130010 Anori;241;8;249
130014 Apuí;97;24;121
130020 Atalaia do Norte;27;4;31
130030 Autazes;59;7;66
130040 Barcelos;76;13;89
130050 Barreirinha;23;10;33
130060 Benjamin Constant;170;18;188
130063 Beruri;24;3;27
130068 Boa Vista do Ramos;14;0;14
130070 Boca do Acre;238;28;266
130080 Borba;136;16;152
130083 Caapiranga;28;16;44
130090 Canutama;38;8;46
130100 Carauari;1328;62;1390
130110 Careiro;69;10;79
130115 Careiro da Várzea;14;4;18
130120 Coari;3801;881;4682
130130 Codajás;406;16;422
130140 Eirunepé;188;13;201
130150 Envira;25;7;32
130160 Fonte Boa;38;18;56
130165 Guajará;13;2;15
130170 Humaitá;602;23;625
130180 Ipixuna;29;2;31
130185 Iranduba;156;15;171
130190 Itacoatiara;1974;88;2062
130195 Itamarati;13;6;19
130200 Itapiranga;23;3;26
130210 Japurá;12;0;12
130220 Juruá;12;3;15
130230 Jutaí;46;7;53
130240 Lábrea;175;22;197
130250 Manacapuru;2571;2031;4602
130255 Manaquiri;6;5;11
130260 Manaus;372015;209096;581111
130270 Manicoré;187;28;215
130280 Maraã;22;0;22
130290 Maués;336;55;391
130300 Nhamundá;44;24;68
130310 Nova Olinda do Norte;68;21;89
130320 Novo Airão;89;10;99
130330 Novo Aripuanã;62;10;72
130340 Parintins;742;64;806
130350 Pauini;27;0;27
130353 Presidente Figueiredo;254;123;377
130356 Rio Preto da Eva;124;10;134
130360 Santa Isabel do Rio Negro;18;2;20
130370 Santo Antônio do Içá;72;14;86
130380 São Gabriel da Cachoeira;259;44;303
130390 São Paulo de Olivença;182;48;230
130395 São Sebastião do Uatumã;14;3;17
130400 Silves;25;0;25
130406 Tabatinga;313;32;345
130410 Tapauá;32;3;35
130420 Tefé;970;181;1151
130423 Tonantins;29;1;30
130426 Uarini;49;7;56
130430 Urucará;32;10;42
130440 Urucurituba;25;0;25
130000 Município ignorado - AM;2347;226;2573
140005 Alto Alegre;34;5;39
140002 Amajari;20;0;20
140010 Boa Vista;22208;1711;23919
140015 Bonfim;24;5;29
140017 Cantá;51;8;59
140020 Caracaraí;152;25;177
140023 Caroebe;8;1;9
140028 Iracema;22;4;26
140030 Mucajaí;82;5;87
140040 Normandia;16;9;25
140045 Pacaraima;46;8;54
140047 Rorainópolis;83;9;92
