STR	Individuo	RES	D1	D2	D3	D4	D5	D6
101	1	0	0	1	-1	1	-1	-1
101	1	0	1	0	1	-1	-1	-1
101	1	1	0	1	1	1	1	0
102	1	0	0	1	1	-1	0	1
102	1	0	1	0	-1	-1	1	0
102	1	1	1	0	1	1	1	0
103	1	1	1	0	-1	-1	1	0
103	1	0	-1	-1	1	-1	0	1
103	1	0	1	0	1	-1	-1	-1
104	1	0	1	0	1	-1	-1	-1
104	1	0	-1	-1	1	1	-1	-1
104	1	1	1	0	-1	-1	1	0
105	1	1	-1	-1	-1	-1	1	0
105	1	0	0	1	1	1	1	0
105	1	0	1	0	-1	1	0	1
106	1	1	1	0	-1	1	0	1
106	1	0	0	1	1	-1	0	1
106	1	0	0	1	-1	1	-1	-1
107	1	1	-1	-1	-1	1	0	1
107	1	0	0	1	-1	-1	-1	-1
107	1	0	-1	-1	1	1	-1	-1
108	1	1	1	0	1	1	1	0
108	1	0	1	0	-1	1	0	1
108	1	0	-1	-1	-1	-1	1	0
109	1	0	0	1	-1	-1	-1	-1
109	1	0	0	1	-1	1	-1	-1
109	1	1	0	1	1	-1	0	1
110	1	0	0	1	1	1	1	0
110	1	1	-1	-1	-1	-1	1	0
110	1	0	-1	-1	-1	1	0	1
111	1	0	-1	-1	1	-1	0	1
111	1	1	-1	-1	-1	1	0	1
111	1	0	0	1	-1	-1	-1	-1
112	1	0	-1	-1	1	1	-1	-1
112	1	1	1	0	1	1	1	0
112	1	0	-1	-1	1	-1	0	1
201	2	0	0	1	-1	1	-1	-1
201	2	0	1	0	1	-1	-1	-1
201	2	1	0	1	1	1	1	0
202	2	0	0	1	1	-1	0	1
202	2	0	1	0	-1	-1	1	0
202	2	1	1	0	1	1	1	0
203	2	1	1	0	-1	-1	1	0
203	2	0	-1	-1	1	-1	0	1
203	2	0	1	0	1	-1	-1	-1
204	2	0	1	0	1	-1	-1	-1
204	2	0	-1	-1	1	1	-1	-1
204	2	1	1	0	-1	-1	1	0
205	2	1	-1	-1	-1	-1	1	0
205	2	0	0	1	1	1	1	0
205	2	0	1	0	-1	1	0	1
206	2	1	1	0	-1	1	0	1
206	2	0	0	1	1	-1	0	1
206	2	0	0	1	-1	1	-1	-1
207	2	1	-1	-1	-1	1	0	1
207	2	0	0	1	-1	-1	-1	-1
207	2	0	-1	-1	1	1	-1	-1
208	2	1	1	0	1	1	1	0
208	2	0	1	0	-1	1	0	1
208	2	0	-1	-1	-1	-1	1	0
209	2	0	0	1	-1	-1	-1	-1
209	2	0	0	1	-1	1	-1	-1
209	2	1	0	1	1	-1	0	1
210	2	0	0	1	1	1	1	0
210	2	1	-1	-1	-1	-1	1	0
210	2	0	-1	-1	-1	1	0	1
211	2	0	-1	-1	1	-1	0	1
211	2	1	-1	-1	-1	1	0	1
211	2	0	0	1	-1	-1	-1	-1
212	2	0	-1	-1	1	1	-1	-1
212	2	1	1	0	1	1	1	0
212	2	0	-1	-1	1	-1	0	1
301	3	0	0	1	-1	1	-1	-1
301	3	0	1	0	1	-1	-1	-1
301	3	1	0	1	1	1	1	0
302	3	0	0	1	1	-1	0	1
302	3	0	1	0	-1	-1	1	0
302	3	1	1	0	1	1	1	0
303	3	1	1	0	-1	-1	1	0
303	3	0	-1	-1	1	-1	0	1
303	3	0	1	0	1	-1	-1	-1
304	3	0	1	0	1	-1	-1	-1
304	3	0	-1	-1	1	1	-1	-1
304	3	1	1	0	-1	-1	1	0
305	3	1	-1	-1	-1	-1	1	0
305	3	0	0	1	1	1	1	0
305	3	0	1	0	-1	1	0	1
306	3	1	1	0	-1	1	0	1
306	3	0	0	1	1	-1	0	1
306	3	0	0	1	-1	1	-1	-1
307	3	1	-1	-1	-1	1	0	1
307	3	0	0	1	-1	-1	-1	-1
307	3	0	-1	-1	1	1	-1	-1
308	3	1	1	0	1	1	1	0
308	3	0	1	0	-1	1	0	1
308	3	0	-1	-1	-1	-1	1	0
309	3	0	0	1	-1	-1	-1	-1
309	3	0	0	1	-1	1	-1	-1
309	3	1	0	1	1	-1	0	1
310	3	0	0	1	1	1	1	0
310	3	1	-1	-1	-1	-1	1	0
310	3	0	-1	-1	-1	1	0	1
311	3	0	-1	-1	1	-1	0	1
311	3	1	-1	-1	-1	1	0	1
311	3	0	0	1	-1	-1	-1	-1
312	3	0	-1	-1	1	1	-1	-1
312	3	1	1	0	1	1	1	0
312	3	0	-1	-1	1	-1	0	1
401	4	0	0	1	-1	1	-1	-1
401	4	0	1	0	1	-1	-1	-1
401	4	1	0	1	1	1	1	0
402	4	0	0	1	1	-1	0	1
402	4	0	1	0	-1	-1	1	0
402	4	1	1	0	1	1	1	0
403	4	1	1	0	-1	-1	1	0
403	4	0	-1	-1	1	-1	0	1
403	4	0	1	0	1	-1	-1	-1
404	4	0	1	0	1	-1	-1	-1
404	4	0	-1	-1	1	1	-1	-1
404	4	1	1	0	-1	-1	1	0
405	4	1	-1	-1	-1	-1	1	0
405	4	0	0	1	1	1	1	0
405	4	0	1	0	-1	1	0	1
406	4	1	1	0	-1	1	0	1
406	4	0	0	1	1	-1	0	1
406	4	0	0	1	-1	1	-1	-1
407	4	1	-1	-1	-1	1	0	1
407	4	0	0	1	-1	-1	-1	-1
407	4	0	-1	-1	1	1	-1	-1
408	4	1	1	0	1	1	1	0
408	4	0	1	0	-1	1	0	1
408	4	0	-1	-1	-1	-1	1	0
409	4	0	0	1	-1	-1	-1	-1
409	4	0	0	1	-1	1	-1	-1
409	4	1	0	1	1	-1	0	1
410	4	0	0	1	1	1	1	0
410	4	1	-1	-1	-1	-1	1	0
410	4	0	-1	-1	-1	1	0	1
411	4	0	-1	-1	1	-1	0	1
411	4	1	-1	-1	-1	1	0	1
411	4	0	0	1	-1	-1	-1	-1
412	4	0	-1	-1	1	1	-1	-1
412	4	1	1	0	1	1	1	0
412	4	0	-1	-1	1	-1	0	1
501	5	0	0	1	-1	1	-1	-1
501	5	0	1	0	1	-1	-1	-1
501	5	1	0	1	1	1	1	0
502	5	0	0	1	1	-1	0	1
502	5	0	1	0	-1	-1	1	0
502	5	1	1	0	1	1	1	0
503	5	1	1	0	-1	-1	1	0
503	5	0	-1	-1	1	-1	0	1
503	5	0	1	0	1	-1	-1	-1
504	5	0	1	0	1	-1	-1	-1
504	5	0	-1	-1	1	1	-1	-1
504	5	1	1	0	-1	-1	1	0
505	5	1	-1	-1	-1	-1	1	0
505	5	0	0	1	1	1	1	0
505	5	0	1	0	-1	1	0	1
506	5	1	1	0	-1	1	0	1
506	5	0	0	1	1	-1	0	1
506	5	0	0	1	-1	1	-1	-1
507	5	1	-1	-1	-1	1	0	1
507	5	0	0	1	-1	-1	-1	-1
507	5	0	-1	-1	1	1	-1	-1
508	5	1	1	0	1	1	1	0
508	5	0	1	0	-1	1	0	1
508	5	0	-1	-1	-1	-1	1	0
