Sobrev	Regiao	NivelToxico
1	1	62
1	0	46
2	1	48.5
3	0	32
2	1	63.5
1	1	41.25
2	0	40
3	1	34.25
2	1	34.75
1	0	46.25
2	1	43.5
2	0	46
2	1	42.5
1	0	53
1	0	43.5
1	1	56
2	1	40
1	0	48
2	1	46.5
2	0	72
2	0	31
1	1	48
2	0	36.5
2	0	43.75
2	1	34.25
2	1	41.25
2	0	41.75
2	0	45.25
2	1	43.5
2	0	53
3	1	38
2	0	59
2	1	52.5
2	0	42.75
2	0	31.5
2	0	43.5
2	0	40
2	1	40.5
2	0	60
3	1	57.5
2	1	48.75
2	1	44.5
1	1	49.5
2	0	33.75
2	1	43.5
2	0	48
3	1	34
1	1	50
3	0	35
1	1	49
2	0	43.5
3	0	37.25
3	0	39
3	1	34.5
2	1	47.5
1	0	42
2	0	45.5
2	0	38.5
2	1	36.5
2	0	37.5
3	1	38.5
2	0	47
2	0	39.75
1	1	60
2	0	41
2	1	41
3	1	30
2	0	45
2	0	51
2	0	35.25
1	0	40.5
2	0	39.5
3	0	36
